SKU,Marca,Tienda,Promedio Unidades Vendidas Diariamente,Numero Dias Inventario Restante,Unidades en Inventario,Frecuencia,Fecha Corte Inventario
SKU_1_Marca_1,Marca_1,Tienda_1_Marca_1,5,14,70,medium,2024-05-20
SKU_2_Marca_1,Marca_1,Tienda_1_Marca_1,11,11,121,high,2024-05-20
SKU_3_Marca_1,Marca_1,Tienda_1_Marca_1,1,8,8,low,2024-05-20
SKU_4_Marca_1,Marca_1,Tienda_1_Marca_1,4,13,52,medium,2024-05-20
SKU_5_Marca_1,Marca_1,Tienda_1_Marca_1,10,12,120,high,2024-05-20
SKU_6_Marca_1,Marca_1,Tienda_1_Marca_1,1,14,14,low,2024-05-20
SKU_7_Marca_1,Marca_1,Tienda_1_Marca_1,7,8,56,medium,2024-05-20
SKU_8_Marca_1,Marca_1,Tienda_1_Marca_1,9,8,72,high,2024-05-20
SKU_9_Marca_1,Marca_1,Tienda_1_Marca_1,2,11,22,low,2024-05-20
SKU_10_Marca_1,Marca_1,Tienda_1_Marca_1,6,9,54,medium,2024-05-20
SKU_11_Marca_1,Marca_1,Tienda_1_Marca_1,10,8,80,high,2024-05-20
SKU_12_Marca_1,Marca_1,Tienda_1_Marca_1,2,10,20,low,2024-05-20
SKU_13_Marca_1,Marca_1,Tienda_1_Marca_1,6,12,72,medium,2024-05-20
SKU_14_Marca_1,Marca_1,Tienda_1_Marca_1,9,11,99,high,2024-05-20
SKU_15_Marca_1,Marca_1,Tienda_1_Marca_1,3,7,21,low,2024-05-20
SKU_16_Marca_1,Marca_1,Tienda_1_Marca_1,6,8,48,medium,2024-05-20
SKU_17_Marca_1,Marca_1,Tienda_1_Marca_1,8,14,112,high,2024-05-20
SKU_18_Marca_1,Marca_1,Tienda_1_Marca_1,4,13,52,low,2024-05-20
SKU_19_Marca_1,Marca_1,Tienda_1_Marca_1,5,8,40,medium,2024-05-20
SKU_20_Marca_1,Marca_1,Tienda_1_Marca_1,11,10,110,high,2024-05-20
SKU_21_Marca_1,Marca_1,Tienda_1_Marca_1,1,10,10,low,2024-05-20
SKU_22_Marca_1,Marca_1,Tienda_1_Marca_1,4,13,52,medium,2024-05-20
SKU_23_Marca_1,Marca_1,Tienda_1_Marca_1,9,12,108,high,2024-05-20
SKU_24_Marca_1,Marca_1,Tienda_1_Marca_1,2,11,22,low,2024-05-20
SKU_25_Marca_1,Marca_1,Tienda_1_Marca_1,6,8,48,medium,2024-05-20
SKU_26_Marca_1,Marca_1,Tienda_1_Marca_1,12,12,144,high,2024-05-20
SKU_27_Marca_1,Marca_1,Tienda_1_Marca_1,4,13,52,low,2024-05-20
SKU_28_Marca_1,Marca_1,Tienda_1_Marca_1,6,13,78,medium,2024-05-20
SKU_29_Marca_1,Marca_1,Tienda_1_Marca_1,8,8,64,high,2024-05-20
SKU_30_Marca_1,Marca_1,Tienda_1_Marca_1,1,9,9,low,2024-05-20
