SKU,Marca,ID Orden de Compra,Fecha Orden de Compra,Fecha Recepcion Mercancia,Lead Time en Dias,Volumen Solicitado,Volumen Recibido,Fiabilidad
SKU_100_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-14,1,1252,1207,96.40575079872204
SKU_100_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-15,2,551,468,84.93647912885662
SKU_100_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-14,1,662,593,89.57703927492447
SKU_100_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-14,1,270,222,82.22222222222221
SKU_100_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-14,1,588,498,84.6938775510204
SKU_100_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-15,2,433,347,80.13856812933025
SKU_100_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-14,1,340,274,80.58823529411765
SKU_100_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-15,2,1602,1509,94.19475655430712
SKU_100_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-15,2,1368,1270,92.83625730994152
SKU_100_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-15,2,460,414,90.0
SKU_100_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-14,1,498,410,82.32931726907631
SKU_100_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-14,1,493,478,96.95740365111561
SKU_100_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-16,3,574,559,97.38675958188153
SKU_100_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-15,2,535,454,84.85981308411215
SKU_100_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-14,1,490,459,93.6734693877551
SKU_10_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-16,3,1362,1125,82.59911894273128
SKU_10_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-16,3,392,333,84.94897959183673
SKU_10_Marca_11,Marca_11,OC_1,2024-05-13,2024-05-14,1,258,245,94.96124031007753
SKU_10_Marca_12,Marca_12,OC_1,2024-05-13,2024-05-16,3,426,396,92.95774647887323
SKU_10_Marca_13,Marca_13,OC_1,2024-05-13,2024-05-15,2,395,319,80.75949367088607
SKU_10_Marca_14,Marca_14,OC_1,2024-05-13,2024-05-15,2,362,336,92.81767955801105
SKU_10_Marca_15,Marca_15,OC_1,2024-05-13,2024-05-15,2,407,406,99.75429975429975
SKU_10_Marca_2,Marca_2,OC_1,2024-05-13,2024-05-15,2,1436,1394,97.07520891364902
SKU_10_Marca_3,Marca_3,OC_1,2024-05-13,2024-05-14,1,1396,1220,87.39255014326648
SKU_10_Marca_4,Marca_4,OC_1,2024-05-13,2024-05-15,2,420,345,82.14285714285714
SKU_10_Marca_5,Marca_5,OC_1,2024-05-13,2024-05-16,3,654,634,96.94189602446484
SKU_10_Marca_6,Marca_6,OC_1,2024-05-13,2024-05-16,3,543,534,98.34254143646409
SKU_10_Marca_7,Marca_7,OC_1,2024-05-13,2024-05-14,1,616,580,94.15584415584416
SKU_10_Marca_8,Marca_8,OC_1,2024-05-13,2024-05-15,2,505,434,85.94059405940594
SKU_10_Marca_9,Marca_9,OC_1,2024-05-13,2024-05-16,3,371,319,85.98382749326146
SKU_11_Marca_1,Marca_1,OC_1,2024-05-13,2024-05-14,1,2710,2604,96.08856088560886
SKU_11_Marca_10,Marca_10,OC_1,2024-05-13,2024-05-16,3,679,659,97.05449189985272
