Fecha_Inventario,SKU,Tienda,Inventario Antes,Inventario Despues,Fecha_Demanda,Marca,Demanda Esperada,Diferencia
2024-06-20,SKU_1_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_2_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,14,-14
2024-06-20,SKU_3_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,1,-1
2024-06-20,SKU_4_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,2,0
2024-06-20,SKU_5_Marca_1,Tienda_1_Marca_1,8,0,2024-06-20,Marca_1,8,0
2024-06-20,SKU_6_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,1,-1
2024-06-20,SKU_7_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,6,-6
2024-06-20,SKU_8_Marca_1,Tienda_1_Marca_1,6,0,2024-06-20,Marca_1,6,0
2024-06-20,SKU_9_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,1,0
2024-06-20,SKU_10_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,8,-8
2024-06-20,SKU_11_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,10,-9
2024-06-20,SKU_12_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,3,-2
2024-06-20,SKU_13_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,10,-8
2024-06-20,SKU_14_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,9,-9
2024-06-20,SKU_15_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,7,-6
2024-06-20,SKU_16_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_17_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_18_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,3,-2
2024-06-20,SKU_19_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,5,-5
2024-06-20,SKU_20_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,12,-12
2024-06-20,SKU_21_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,3,-3
2024-06-20,SKU_22_Marca_1,Tienda_1_Marca_1,1,0,2024-06-20,Marca_1,5,-4
2024-06-20,SKU_23_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,10,-10
2024-06-20,SKU_24_Marca_1,Tienda_1_Marca_1,4,0,2024-06-20,Marca_1,5,-1
2024-06-20,SKU_25_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,9,-9
2024-06-20,SKU_26_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,16,-14
2024-06-20,SKU_27_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,4,-4
2024-06-20,SKU_28_Marca_1,Tienda_1_Marca_1,2,0,2024-06-20,Marca_1,7,-5
2024-06-20,SKU_29_Marca_1,Tienda_1_Marca_1,0,0,2024-06-20,Marca_1,6,-6
