Fecha,SKU,Tienda Origen,Tienda Destino,Unidades Transferidas
2024-06-17,SKU_58_Marca_12,Tienda_1_Marca_12,Tienda_7_Marca_12,3
2024-06-18,SKU_62_Marca_1,Tienda_1_Marca_1,Tienda_10_Marca_1,3
2024-06-18,SKU_62_Marca_1,Tienda_3_Marca_1,Tienda_11_Marca_1,11
2024-06-18,SKU_81_Marca_1,Tienda_3_Marca_1,Tienda_11_Marca_1,2
2024-06-18,SKU_62_Marca_1,Tienda_1_Marca_1,Tienda_12_Marca_1,3
2024-06-18,SKU_81_Marca_1,Tienda_1_Marca_1,Tienda_12_Marca_1,1
2024-06-18,SKU_1_Marca_1,Tienda_2_Marca_1,Tienda_13_Marca_1,5
2024-06-18,SKU_81_Marca_1,Tienda_6_Marca_1,Tienda_13_Marca_1,3
2024-06-18,SKU_1_Marca_1,Tienda_2_Marca_1,Tienda_14_Marca_1,5
2024-06-18,SKU_62_Marca_1,Tienda_2_Marca_1,Tienda_14_Marca_1,8
2024-06-18,SKU_81_Marca_1,Tienda_1_Marca_1,Tienda_14_Marca_1,1
2024-06-18,SKU_1_Marca_1,Tienda_1_Marca_1,Tienda_15_Marca_1,3
2024-06-18,SKU_62_Marca_1,Tienda_5_Marca_1,Tienda_15_Marca_1,7
2024-06-18,SKU_81_Marca_1,Tienda_3_Marca_1,Tienda_15_Marca_1,1
2024-06-18,SKU_1_Marca_1,Tienda_10_Marca_1,Tienda_16_Marca_1,9
2024-06-18,SKU_47_Marca_1,Tienda_1_Marca_1,Tienda_16_Marca_1,9
2024-06-18,SKU_62_Marca_1,Tienda_5_Marca_1,Tienda_16_Marca_1,6
2024-06-18,SKU_71_Marca_1,Tienda_1_Marca_1,Tienda_16_Marca_1,5
2024-06-18,SKU_81_Marca_1,Tienda_7_Marca_1,Tienda_16_Marca_1,2
2024-06-18,SKU_1_Marca_1,Tienda_4_Marca_1,Tienda_17_Marca_1,5
2024-06-18,SKU_47_Marca_1,Tienda_3_Marca_1,Tienda_17_Marca_1,9
2024-06-18,SKU_62_Marca_1,Tienda_6_Marca_1,Tienda_17_Marca_1,8
2024-06-18,SKU_71_Marca_1,Tienda_2_Marca_1,Tienda_17_Marca_1,8
